2019-10-07 08:35:24 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2019-10-07 08:35:24 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2019-10-07 08:35:24 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2019-10-07 08:35:24 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2019-10-07 08:35:25 INFO  Version:46 - HHH000412: Hibernate Core {5.4.4.Final}
2019-10-07 08:35:25 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2019-10-07 08:35:26 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2019-10-07 08:35:26 DEBUG LocalXmlResourceResolver:85 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2019-10-07 08:35:26 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2019-10-07 08:35:27 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2019-10-07 08:35:27 DEBUG LocalXmlResourceResolver:85 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2019-10-07 08:35:27 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2019-10-07 08:35:27 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2019-10-07 08:35:27 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2019-10-07 08:35:27 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2019-10-07 08:35:27 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2019-10-07 08:35:27 DEBUG Configuration:652 - Building session factory using provided StandardServiceRegistry
2019-10-07 08:35:27 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2019-10-07 08:35:27 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2019-10-07 08:35:27 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-10-07 08:35:27 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@2fd1433e
2019-10-07 08:35:27 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@2fd1433e
2019-10-07 08:35:27 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2fd1433e
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@212b5695
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@793be5ca
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration yes_no -> org.hibernate.type.YesNoType@15aab8c6
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@6babf3bf
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@6babf3bf
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6babf3bf
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration character -> org.hibernate.type.CharacterType@3fb1549b
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration char -> org.hibernate.type.CharacterType@3fb1549b
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3fb1549b
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@2053d869
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@2053d869
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2053d869
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration integer -> org.hibernate.type.IntegerType@3c73951
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration int -> org.hibernate.type.IntegerType@3c73951
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@3c73951
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@10d307f1
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@10d307f1
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@10d307f1
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@5403f35f
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@5403f35f
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5403f35f
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@1b1426f4
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@1b1426f4
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@1b1426f4
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@76c3e77a
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@76c3e77a
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@fa49800
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@fa49800
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration string -> org.hibernate.type.StringType@505fc5a4
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.String -> org.hibernate.type.StringType@505fc5a4
2019-10-07 08:35:28 DEBUG BasicTypeRegistry:156 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@bd4dc25
